,Rooms,Furnishing,Bathroom,Availability,Carpet Area,Floor,Price,Location
391,3,Semi-Furnished,3,Immediately,2000.0,0,75000.0,"Koregaon Park, "
392,3,Furnished,3,Immediately,1300.0,11,60000.0,"Mohamadwadi Settlement, "
393,1,Furnished,2,Immediately,450.0,7,25000.0,"Pashan, "
394,2,Unfurnished,2,Immediately,954.0,10,45000.0,"Kharadi, "
395,1,Unfurnished,1,Immediately,825.0,3,7000.0,"Donaje, "
396,2,Semi-Furnished,2,Immediately,765.0,2,35000.0,"Viman Nagar, "
397,2,Semi-Furnished,2,Immediately,810.0,7,38000.0,"Kalyani Nagar, "
398,3,Semi-Furnished,3,Immediately,1300.0,5,55000.0,"Dahanukar Colony, Kothrud, "
399,1,Unfurnished,1,Immediately,550.0,2,21000.0,"Erandwane, "
400,0,Unfurnished,1,Immediately,825.0,3,0.0,Studio Apartment for Rent in 
401,1,Unfurnished,1,Immediately,825.0,2,13000.0,"Bharati Vidyapeeth Campus, "
402,2,Furnished,2,Immediately,750.0,2,32000.0,"Navasahyadri Society, Karvenagar, "
403,2,Semi-Furnished,2,Immediately,770.0,13,21000.0,"Manjari Khurd, "
404,2,Unfurnished,2,Immediately,825.0,2,9000.0,"Pirangut, "
405,1,Semi-Furnished,1,Immediately,480.0,3,22500.0,"Amanora Park Town, "
406,2,Unfurnished,2,Immediately,723.0,11,24000.0,"Manjri, Manjri Budruk, "
407,3,Furnished,4,Immediately,1480.0,9,75000.0,"Mumbai  Expressway, "
408,3,Semi-Furnished,3,Immediately,825.0,3,50000.0,"Baner, "
409,1,Unfurnished,1,Immediately,450.0,4,13000.0,"Akurdi, "
410,1,Unfurnished,1,Immediately,825.0,1,12000.0,"Dange Chowk Road, "
411,3,Semi-Furnished,3,Immediately,1480.0,9,55000.0,"Mumbai  Expressway, "
412,2,Semi-Furnished,2,Immediately,756.0,6,26000.0,"Wakad, "
413,3,Unfurnished,3,Immediately,1100.0,9,47000.0,"Balewadi, "
414,1,Unfurnished,2,Immediately,500.0,2,18000.0,"Vishrantwadi, Airport Road, "
415,0,Unfurnished,1,Immediately,825.0,3,0.0,"Studio Apartment for Rent in Fursungi, "
416,2,Unfurnished,2,Immediately,825.0,3,10000.0,"Manjari Road, "
417,2,Unfurnished,2,Immediately,825.0,6,8000.0,"Kolewadi, "
418,1,Furnished,1,Immediately,510.0,18,25000.0,"Mumbai  Expressway, "
419,3,Semi-Furnished,3,Immediately,825.0,7,42000.0,"Magarpatta, "
420,2,Semi-Furnished,2,Immediately,1020.0,1,28000.0,"Wanowrie, "
421,1,Semi-Furnished,1,Immediately,510.0,12,24000.0,"Mumbai  Expressway, "
