,Rooms,Furnishing,Bathroom,Tenant Preferred,Availability,Carpet Area,Floor,Price
390,"2 BHK Flat for Rent in Kharadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area800 sqft,Floor4 out of 6,"₹27,000"
391,"3 BHK Flat for Rent in Koregaon Park, Pune",FurnishingSemi-Furnished,Bathroom3,,AvailabilityImmediately,Carpet Area2000 sqft,FloorGround out of 4,"₹75,000"
392,"3 BHK Flat for Rent in Mohamadwadi Settlement, Pune",FurnishingFurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1300 sqft,Floor11 out of 15,"₹60,000"
393,"1 BHK Flat for Rent in Pashan, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area450 sqft,Floor7 out of 19,"₹25,000"
394,"2 BHK Flat for Rent in Kharadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area954 sqft,Floor10 out of 22,"₹45,000"
395,"1 BHK Flat for Rent in Donaje, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,,Floor3 out of 7,"₹7,000"
396,"2 BHK Flat for Rent in Viman Nagar, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area765 sqft,Floor2 out of 2,"₹35,000"
397,"2 BHK Flat for Rent in Kalyani Nagar, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area810 sqft,Floor7 out of 12,"₹38,000"
398,"3 BHK Flat for Rent in Dahanukar Colony, Kothrud, Pune",FurnishingSemi-Furnished,Bathroom3,,AvailabilityImmediately,Carpet Area1300 sqft,Floor5 out of 7,"₹55,000"
399,"1 BHK Flat for Rent in Erandwane, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,Carpet Area550 sqft,Floor2 out of 5,"₹21,000"
400,Studio Apartment for Rent in Pune,FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,,Floor3 out of 4,Call for Price
401,"1 BHK Flat for Rent in Bharati Vidyapeeth Campus, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,,Floor2 out of 6,"₹13,000"
402,"2 BHK Flat for Rent in Navasahyadri Society, Karvenagar, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area750 sqft,Floor2 out of 3,"₹32,000"
403,"2 BHK Flat for Rent in Manjari Khurd, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area770 sqft,Floor13 out of 22,"₹21,000"
404,"2 BHK Flat for Rent in Pirangut, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,,Floor2 out of 11,"₹9,000"
405,"1 BHK Flat for Rent in Amanora Park Town, Pune",FurnishingSemi-Furnished,Bathroom1,,AvailabilityImmediately,Carpet Area480 sqft,Floor3 out of 12,"₹22,500"
406,"2 BHK Flat for Rent in Manjri, Manjri Budruk, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area723 sqft,Floor11 out of 16,"₹24,000"
407,"3 BHK Flat for Rent in Mumbai Pune Expressway, Pune",FurnishingFurnished,Bathroom4,,AvailabilityImmediately,Carpet Area1480 sqft,Floor9 out of 22,"₹75,000"
408,"3 BHK Flat for Rent in Baner, Pune",FurnishingSemi-Furnished,Bathroom3,,AvailabilityImmediately,,Floor3 out of 8,"₹50,000"
409,"1 BHK Flat for Rent in Akurdi, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,Carpet Area450 sqft,Floor4 out of 4,"₹13,000"
410,"1 BHK Flat for Rent in Dange Chowk Road, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,,Floor1 out of 3,"₹12,000"
411,"3 BHK Flat for Rent in Mumbai Pune Expressway, Pune",FurnishingSemi-Furnished,Bathroom3,,AvailabilityImmediately,Carpet Area1480 sqft,Floor9 out of 23,"₹55,000"
412,"2 BHK Flat for Rent in Wakad, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area756 sqft,Floor6 out of 16,"₹26,000"
413,"3 BHK Flat for Rent in Balewadi, Pune",FurnishingUnfurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1100 sqft,Floor9 out of 16,"₹47,000"
414,"1 BHK Flat for Rent in Vishrantwadi, Airport Road, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area500 sqft,Floor2 out of 6,"₹18,000"
415,"Studio Apartment for Rent in Fursungi, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,,Floor3 out of 5,Call for Price
416,"2 BHK Flat for Rent in Manjari Road, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,,Floor3 out of 5,"₹10,000"
417,"2 BHK Flat for Rent in Kolewadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,,Floor6 out of 8,"₹8,000"
418,"1 BHK Flat for Rent in Mumbai Pune Expressway, Pune",FurnishingFurnished,Bathroom1,,AvailabilityImmediately,Carpet Area510 sqft,Floor18 out of 24,"₹25,000"
